repeat,fold,accuracy,precision,recall,f1,roc_auc
1,1,0.8469387755102041,0.7142857142857143,0.10416666666666667,0.18181818181818182,0.7894224254742547
1,2,0.8605442176870748,0.7692307692307693,0.20833333333333334,0.32786885245901637,0.7901422764227642
1,3,0.8469387755102041,0.625,0.10638297872340426,0.18181818181818182,0.8485657679386682
1,4,0.8639455782312925,1.0,0.14893617021276595,0.25925925925925924,0.8158756137479541
1,5,0.8503401360544217,0.6666666666666666,0.1276595744680851,0.21428571428571427,0.8027392540270479
2,1,0.8503401360544217,0.8333333333333334,0.10416666666666667,0.18518518518518517,0.7775660569105691
2,2,0.826530612244898,0.2857142857142857,0.041666666666666664,0.07272727272727272,0.8217310298102981
2,3,0.8707482993197279,1.0,0.19148936170212766,0.32142857142857145,0.8082091480747695
2,4,0.8571428571428571,0.7777777777777778,0.14893617021276595,0.25,0.8164785941941597
2,5,0.8639455782312925,0.8181818181818182,0.19148936170212766,0.3103448275862069,0.8016194331983806
3,1,0.8571428571428571,1.0,0.125,0.2222222222222222,0.8537008807588076
3,2,0.8537414965986394,0.7777777777777778,0.14583333333333334,0.24561403508771928,0.8197408536585366
3,3,0.8571428571428571,1.0,0.10638297872340426,0.19230769230769232,0.7846067706090103
3,4,0.8537414965986394,0.75,0.1276595744680851,0.21818181818181817,0.7850805409596003
3,5,0.8503401360544217,0.6153846153846154,0.1702127659574468,0.26666666666666666,0.8011887328796623
4,1,0.8503401360544217,1.0,0.08333333333333333,0.15384615384615385,0.7881944444444444
4,2,0.8469387755102041,0.7142857142857143,0.10416666666666667,0.18181818181818182,0.822239159891599
4,3,0.8639455782312925,0.8888888888888888,0.1702127659574468,0.2857142857142857,0.8238004996123697
4,4,0.8367346938775511,0.4444444444444444,0.0851063829787234,0.14285714285714285,0.7936945473339649
4,5,0.8639455782312925,0.7333333333333333,0.23404255319148937,0.3548387096774194,0.7989060211904557
5,1,0.8639455782312925,0.9,0.1875,0.3103448275862069,0.8574271680216802
5,2,0.8571428571428571,1.0,0.125,0.2222222222222222,0.8400237127371274
5,3,0.8435374149659864,0.6,0.06382978723404255,0.11538461538461539,0.815660263588595
5,4,0.8333333333333334,0.3333333333333333,0.0425531914893617,0.07547169811320754,0.7852097510552157
5,5,0.8775510204081632,0.8666666666666667,0.2765957446808511,0.41935483870967744,0.7851236109914722
6,1,0.8537414965986394,1.0,0.10416666666666667,0.18867924528301888,0.8125423441734417
6,2,0.8537414965986394,0.8571428571428571,0.125,0.21818181818181817,0.8249915311653117
6,3,0.8571428571428571,0.6923076923076923,0.19148936170212766,0.3,0.8227237488155741
6,4,0.8469387755102041,0.75,0.06382978723404255,0.11764705882352941,0.7807735377724179
6,5,0.8503401360544217,0.7142857142857143,0.10638297872340426,0.18518518518518517,0.7893444741149109
7,1,0.8605442176870748,1.0,0.14583333333333334,0.2545454545454545,0.836255081300813
7,2,0.8503401360544217,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.8054285230352304
7,3,0.8401360544217688,0.5,0.06382978723404255,0.11320754716981132,0.7432164699801878
7,4,0.8503401360544217,0.8,0.0851063829787234,0.15384615384615385,0.7374881557412353
7,5,0.8639455782312925,1.0,0.14893617021276595,0.25925925925925924,0.8791885605995348
8,1,0.8707482993197279,0.9166666666666666,0.22916666666666666,0.36666666666666664,0.7919630758807589
8,2,0.8469387755102041,0.8,0.08333333333333333,0.1509433962264151,0.819994918699187
8,3,0.8605442176870748,0.75,0.19148936170212766,0.3050847457627119,0.7572142303385304
8,4,0.8605442176870748,1.0,0.1276595744680851,0.22641509433962265,0.8223791885605995
8,5,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301888,0.8171677147041089
9,1,0.8503401360544217,0.8333333333333334,0.10416666666666667,0.18518518518518517,0.8373560298102981
9,2,0.8435374149659864,0.75,0.0625,0.11538461538461539,0.7825626693766938
9,3,0.8571428571428571,0.7272727272727273,0.1702127659574468,0.27586206896551724,0.7724179515892842
9,4,0.8639455782312925,0.8888888888888888,0.1702127659574468,0.2857142857142857,0.857653544663623
9,5,0.8571428571428571,1.0,0.10638297872340426,0.19230769230769232,0.7467912826255492
10,1,0.8537414965986394,0.8571428571428571,0.125,0.21818181818181817,0.7408960027100271
10,2,0.8537414965986394,0.7777777777777778,0.14583333333333334,0.24561403508771928,0.7754488482384824
10,3,0.8571428571428571,0.8571428571428571,0.1276595744680851,0.2222222222222222,0.827633732448962
10,4,0.8639455782312925,0.8888888888888888,0.1702127659574468,0.2857142857142857,0.8579981049185976
10,5,0.8469387755102041,0.75,0.06382978723404255,0.11764705882352941,0.8433542940821777
