intervention,scenario,targeting_rule,targeted_employees,coverage,treated_employees,effect_size,avoided_leavers,cost_per_attrition,gross_savings_usd,program_cost_usd,net_savings_usd,roi,break_even_avoided_leavers
OverTime,low,OverTime == Yes,416,0.8,333,0.05,4.7668,30000.0,143004.0,126600.0,16404.0,0.1295734597156398,4.22
MonthlyIncome,low,"MonthlyIncome in (1008.999, 2911.0]",369,0.6,221,0.04,2.4679200000000003,30000.0,74037.6,451500.0,-377462.4,-0.8360186046511628,15.05
Age,low,"Age in (17.999, 30.0]",386,0.5,193,0.03,1.43145,30000.0,42943.5,117200.0,-74256.5,-0.6335878839590444,3.9066666666666667
Combined Top 3 Program,low,OverTime + MonthlyIncome + Age,1171,,747,,8.559999692800005,30000.0,256799.99078400017,695300.0,-438500.00921599986,-0.6306630364101825,23.176666666666666
OverTime,base,OverTime == Yes,416,0.8,333,0.1,9.5336,50000.0,476680.0,126600.0,350080.0,2.7652448657187993,2.532
MonthlyIncome,base,"MonthlyIncome in (1008.999, 2911.0]",369,0.6,221,0.08,4.935840000000001,50000.0,246792.00000000003,451500.0,-204707.99999999997,-0.4533953488372092,9.03
Age,base,"Age in (17.999, 30.0]",386,0.5,193,0.06,2.8629,50000.0,143145.0,117200.0,25945.0,0.22137372013651876,2.344
Combined Top 3 Program,base,OverTime + MonthlyIncome + Age,1171,,747,,16.909666822400027,50000.0,845483.3411200014,695300.0,150183.3411200014,0.21599790179778713,13.906
OverTime,high,OverTime == Yes,416,0.8,333,0.15,14.3004,80000.0,1144032.0,126600.0,1017432.0,8.036587677725118,1.5825
MonthlyIncome,high,"MonthlyIncome in (1008.999, 2911.0]",369,0.6,221,0.12,7.403759999999999,80000.0,592300.7999999999,451500.0,140800.79999999993,0.3118511627906975,5.64375
Age,high,"Age in (17.999, 30.0]",386,0.5,193,0.1,4.7715000000000005,80000.0,381720.00000000006,117200.0,264520.00000000006,2.2569965870307174,1.465
Combined Top 3 Program,high,OverTime + MonthlyIncome + Age,1171,,747,,25.478400383999997,80000.0,2038272.0307199997,695300.0,1342972.0307199997,1.931500116093772,8.69125
